,smiles,MP
116,Cn1cc[n+](C)c1.[Cl-],125.0
117,Cn1cc[n+](C)c1.F[B-](F)(F)F,103.0
118,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22.0
119,Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,52.0
120,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,15.0
121,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,27.0
122,Cc1[nH+]ccn1C.[Cl-],181.0
123,Cc1[nH+]ccn1C.[Br-],176.0
124,Cc1[nH+]ccn1C.[O-][Cl+3]([O-])([O-])[O-],64.0
125,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22.0
126,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,15.0
127,Cc1[nH+]ccn1C.O=[N+]([O-])[O-],84.0
128,Cc1[nH+]ccn1C.F[P-](F)(F)(F)(F)F,115.0
129,CC[n+]1ccn(C)c1.[Cl-],80.0
130,CC[n+]1ccn(C)c1.[I-],79.0
131,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,-20.0
132,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,1.0
133,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.0
134,CCC[B-](F)(F)F.CC[n+]1ccn(C)c1,-14.0
135,CCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,-9.0
136,CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,16.0
137,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-16.0
138,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-1.0
139,CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.0
140,CC[n+]1ccn(C)c1.O=N[O-],55.0
141,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],38.0
142,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,-13.0
143,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,28.0
144,CC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-16.0
145,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],5.0
146,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-37.0
