,MP,error,smiles
73,78.95000000000005,2.0,Cc1cc[n+](CCOc2ccccc2)cc1.[Br-]
74,190.95000000000005,2.0,[Br-].c1ccc(OCCC[n+]2ccccn2)cc1
75,235.05,5.1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+]
76,22.05000000000001,2.1,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
77,26.850000000000023,2.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])O
78,19.850000000000023,2.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O
79,88.85000000000002,2.0,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
80,9.850000000000023,2.0,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
81,-11.149999999999977,2.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
82,-20.149999999999977,2.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
83,-9.349999999999966,2.3,CCCCCCCCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Br
84,25.05000000000001,2.3,CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1.Cl[Fe-](Cl)(Cl)Br
85,4.650000000000034,2.3,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1.Cl[Fe-](Cl)(Cl)Br
86,14.450000000000045,2.3,CCCCCCCCCCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Br
87,64.95000000000005,1.0,Cn1cc[n+](Cc2ccc(C[n+]3ccn(C)c3)cc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
88,74.85000000000002,0.7,C[N+](C)(C)CCO.Cc1cccc(Nc2ccccc2C(=O)[O-])c1C
89,-21.349999999999966,3.2,CCCCCCCCCCCCCCCCC(=O)[O-].CCCC[P+](CC)(CCCC)CCCC
90,16.650000000000034,2.0,CC(=O)[O-].CCC[N+]1(C)CCCC1
91,101.65000000000003,2.0,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
92,101.95000000000005,2.0,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
93,101.85000000000002,2.0,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
94,100.75,1.5,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
95,105.85000000000002,5.0,OCC[n+]1ccccc1.[Br-]
96,146.05,5.0,C[N+]1(CCO)CCOCC1.[Br-]
97,111.95000000000005,5.0,CCCC[N+](C)(C)CCO.[Br-]
98,133.25,5.0,CC(=O)OCC[N+]1(C)CCOCC1.[Br-]
99,253.95000000000005,5.0,C[N+]1(CCO)CCCC1.[Br-]
100,191.85000000000002,5.0,CC[N+](CC)(CC)CC#N.[Br-]
101,151.55,5.0,CCOC(=O)C[N+]1(C)CCOCC1.[Br-]
102,211.05,1.1,CCCC[N+]1(C)CCOCC1.[Br-]
103,172.45000000000005,5.1,CC[N+]1(C)CCOCC1.[Br-]
104,78.95000000000005,1.1,CCCC[n+]1ccn(C)c1.[Br-]
105,-12.049999999999955,2.0,CCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
106,-10.049999999999955,2.0,CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
107,201.45000000000005,7.0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
108,27.400000000000034,0.5,C[NH+](Cc1cccnc1)CC1COC(C)(C)O1.F[B-](F)(F)F
109,20.80000000000001,0.5,CC1(C)OCC(C[N+](C)(C)Cc2cccnc2)O1.F[B-](F)(F)F
110,166.95000000000005,2.0,CS(=O)(=O)[O-].C[C@@H](c1ccccc1)[N+](C)(C)C
111,166.95000000000005,2.0,CS(=O)(=O)[O-].C[C@H](c1ccccc1)[N+](C)(C)C
112,38.950000000000045,2.0,CC[NH+](C)CC.CS(=O)(=O)[O-]
113,17.950000000000045,2.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F
114,-5.0499999999999545,2.0,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F
115,35.950000000000045,2.0,CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F
116,82.45000000000005,2.0,CC[NH+](CC)CC.O=S(=O)([O-])O
117,134.85000000000002,2.0,CCCC[n+]1ccccc1.[Cl-]
118,121.85000000000002,2.0,CC[n+]1ccccc1.[Br-]
119,106.85000000000002,2.0,CCCC[n+]1ccccc1.[Br-]
120,44.450000000000045,1.1,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F
121,77.65000000000003,0.7,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.N#C[N-]C#N
122,100.65000000000003,2.3,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-]
123,110.15000000000003,2.3,Cc1n(C)cc[n+]1CC[n+]1ccn(C)c1C.[Br-].[Br-]
124,115.45000000000005,2.3,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-]
125,184.25,2.3,CCn1cc[n+](CC[n+]2ccn(CC)c2)c1.[Br-].[Br-]
126,0.9500000000000455,2.0,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
127,20.950000000000045,2.0,CCCCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
128,5.9500000000000455,2.0,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
129,168.85000000000002,0.5,CC(O)C[N+](C)(C)C.[Cl-]
130,262.25,0.5,CC[N+](CC)(CC)CC.[Cl-]
131,308.45000000000005,0.5,C[N+](C)(C)CCO.[Br-]
132,132.25,0.5,CCCC[n+]1ccccc1.[Cl-]
133,225.25,0.5,CCC[N+]1(C)CCCCC1.[Cl-]
134,236.05,0.5,C[N+](C)(C)Cc1ccccc1.[Cl-]
135,229.25,0.5,CCC[N+](CCC)(CCC)CCC.[Cl-]
136,55.450000000000045,1.1,Cc1ccc[n+](CC(=O)Nc2ccc(I)cc2F)c1.F[P-](F)(F)(F)(F)F
137,58.450000000000045,1.1,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.O=C([O-])C(F)(F)F
138,66.45000000000005,1.1,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.F[P-](F)(F)(F)(F)F
139,63.450000000000045,1.1,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.O=C([O-])C(F)(F)F
